,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Buenos Aires, Argentina",2014-01-01,32,22.9,27.9,35.7,22.9,29.8,20.9,66,0,0,0,,0,0,,19.1,13.1,1003.8,38.2,9.3,358.3,31.1,10,,2014-01-01T05:44:24,2014-01-01T20:09:40,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
1,"Buenos Aires, Argentina",2014-01-02,29.4,17.9,22.6,32.4,17.9,22.7,16.8,71.9,117.161,100,12.5,rain,0,0,44.3,35.8,187.3,1001.9,69,8.1,186,16.2,8,,2014-01-02T05:45:10,2014-01-02T20:09:49,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
2,"Buenos Aires, Argentina",2014-01-03,23.9,15.4,20.1,23.9,15.4,20.1,6.2,41,0,0,0,,0,0,53.6,32.7,163.9,1013.8,11.2,10,394.7,34.2,10,,2014-01-03T05:45:57,2014-01-03T20:09:56,0.07,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,86560099999,87576099999"
3,"Buenos Aires, Argentina",2014-01-04,29.3,17.5,23.8,29.2,17.5,23.8,11.5,46.7,0,0,0,,0,0,51.8,29.6,332.3,1014.3,0,10,390.6,33.6,10,,2014-01-04T05:46:45,2014-01-04T20:10:01,0.11,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
4,"Buenos Aires, Argentina",2014-01-05,30.5,22.3,27.3,33.2,22.3,28.3,18.4,58.6,0,0,0,,0,0,,20.5,36.4,1012.7,0,9.6,378.3,32.7,10,,2014-01-05T05:47:35,2014-01-05T20:10:04,0.14,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
5,"Buenos Aires, Argentina",2014-01-06,33.1,24.8,29.1,35.7,24.8,30.4,19.6,57.8,0,0,0,,0,0,46.4,23.3,2.8,1009.3,0.5,10,383.3,32.9,10,,2014-01-06T05:48:25,2014-01-06T20:10:06,0.17,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,86560099999,87576099999"
6,"Buenos Aires, Argentina",2014-01-07,29.9,20.9,25.9,33.3,20.9,26.9,20.4,72.2,23.579,100,12.5,rain,0,0,90.7,46.6,328,1004.9,60.8,9.5,347.7,29.9,10,,2014-01-07T05:49:17,2014-01-07T20:10:05,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,86560099999,87576099999"
7,"Buenos Aires, Argentina",2014-01-08,26.5,18.8,23.1,26.5,18.8,23.1,17.1,70.4,0,0,0,,0,0,33.5,26.6,120.8,1010.5,32.1,9.4,385.8,33.1,10,,2014-01-08T05:50:09,2014-01-08T20:10:03,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
8,"Buenos Aires, Argentina",2014-01-09,31,21.7,26.5,34.5,21.7,28.2,20.7,71,0,0,0,,0,0,44.3,25.6,19.7,1007.1,41.6,10,303,26.1,10,,2014-01-09T05:51:03,2014-01-09T20:09:59,0.28,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,86560099999,87576099999"
9,"Buenos Aires, Argentina",2014-01-10,30.1,22.7,26.7,32.5,22.7,27.5,18.5,61.4,0.786,100,8.33,rain,0,0,61.2,23.2,352.3,1007,63.1,9.8,162.9,14,7,,2014-01-10T05:51:57,2014-01-10T20:09:53,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
