,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Manila, Phillipines",2014-01-01,31,23,26.6,32.7,23,27.4,20.4,70.1,0,0,0,,,,,22.3,98.4,1013.2,47.6,8.8,209,18,8,,2014-01-01T06:21:07,2014-01-01T17:37:49,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98428099999,98426041231,RPLL,98430099999,98433099999,98425099999"
1,"Manila, Phillipines",2014-01-02,31,23.6,27,33.1,23.6,27.9,20,66.2,0,0,0,,,,,20.5,100.4,1012.9,45.4,10.2,223.6,19.1,8,,2014-01-02T06:21:29,2014-01-02T17:38:24,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98428099999,98426041231,RPLL,98430099999,98433099999,98425099999"
2,"Manila, Phillipines",2014-01-03,31,22,26.7,33.7,22,27.9,20.6,70.2,0,0,0,,,,,14.8,116.7,1012.6,32.3,10.3,237.9,20.4,8,,2014-01-03T06:21:50,2014-01-03T17:38:58,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98428099999,98426041231,RPLL,98430099999,98433099999,98425099999"
3,"Manila, Phillipines",2014-01-04,30,23,26.7,33.6,23,28,21.8,75.9,0,0,0,,,,40.7,18.3,323.4,1011.5,42.1,10.2,234.8,20.2,8,,2014-01-04T06:22:11,2014-01-04T17:39:33,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98428099999,98426041231,RPLL,98430099999,98433099999,98425099999"
4,"Manila, Phillipines",2014-01-05,30,23,26.5,32.7,23,27.7,21.6,75.3,0,0,0,,,,31.3,18.4,67.4,1011.5,52.5,10.5,220.4,19.1,8,,2014-01-05T06:22:30,2014-01-05T17:40:08,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98428099999,98426041231,RPLL,98430099999,98433099999,98425099999"
5,"Manila, Phillipines",2014-01-06,30,22,26.5,32.5,22,27.6,21.8,76,0.003,100,4.17,rain,,,,20.5,105.7,1011.9,56.3,10.2,213,18.6,8,,2014-01-06T06:22:48,2014-01-06T17:40:43,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,98428099999,98426041231,RPLL,98430099999,remote,98433099999,98425099999"
6,"Manila, Phillipines",2014-01-07,30,24,26.9,32.5,24,28,21.2,71.5,0,0,0,,,,,16.6,93,1012.3,59.9,9.9,197.7,17.2,7,,2014-01-07T06:23:06,2014-01-07T17:41:18,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98428099999,98426041231,RPLL,98430099999,98433099999,98425099999"
7,"Manila, Phillipines",2014-01-08,31,23.7,26.9,33,23.7,27.8,20.8,70.4,0,0,0,,,,,18.4,93,1012.2,60.2,10,198.7,17.3,7,,2014-01-08T06:23:22,2014-01-08T17:41:53,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98428099999,98426041231,RPLL,98430099999,98433099999,98425099999"
8,"Manila, Phillipines",2014-01-09,31,18.1,26.7,33.1,18.1,27.3,20,68.2,0,0,0,,,,,20.5,97.5,1013.1,40,10.1,205.1,17.7,7,,2014-01-09T06:23:38,2014-01-09T17:42:29,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98428099999,98426041231,RPLL,98851041231,98430099999,98433099999,98425099999"
9,"Manila, Phillipines",2014-01-10,28,24,25.8,29.2,24,26.1,19.2,67.1,0.003,100,4.17,rain,,,,22.4,97.4,1014.7,64.9,9.8,231.1,19.9,8,,2014-01-10T06:23:52,2014-01-10T17:43:04,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,98428099999,98426041231,RPLL,98430099999,98433099999,98425099999"
10,"Manila, Phillipines",2014-01-11,30,22,25.5,30.4,22,25.7,18,64.8,0,0,0,,,,42.5,24.1,74.9,1015.4,60.2,10,218.6,18.9,8,,2014-01-11T06:24:06,2014-01-11T17:43:39,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98428099999,98426041231,RPLL,98430099999,98433099999,98425099999"
11,"Manila, Phillipines",2014-01-12,29,21.8,25.7,30.3,21.8,26.2,19.1,67.5,0,0,0,,,,,16.6,75.6,1013.6,53.2,9.9,141.1,12.2,5,,2014-01-12T06:24:18,2014-01-12T17:44:14,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98428099999,98426041231,RPLL,98430099999,98433099999,98425099999"
